Race Title,Geelong
Race,Race 1 Geelong
Number,Name,WinPrice,FixedPrice
3(9),Bogey Man,TF,6.50
4(2),Sista Act,TF,6.50
5(7),Voltaire Lumiere,TF,41.00
6(1),Happy Hooves,TF,4.00
7(10),More Patasi,TF,41.00
8(14),Givus A Cuddle,TF,14.00
10(5),Khaleesi,TF,17.00
11(12),Sailor Gerri,TF,19.00
12(3),Divine Messenger,TF,4.60
13(6),Licitra,TF,13.00
14(11),Soft Top,TF,21.00
Race,Race 8 Gold Coast
Number,Name,WinPrice,FixedPrice
1(2),Dal Cielo,TF,2.80
3(5),In His Stride,TF,16.00
4(9),Sold For Song,TF,5.50
6(11),Volkoff,TF,8.00
7(10),Prompt Return,TF,10.00
8(8),Sony Legend,TF,11.00
9(15),Saipan,TF,23.00
10(7),I Am The General,TF,31.00
11(14),Lucky Meteor,TF,21.00
12(6),Big Tree,TF,21.00
13(4),Mishani El Lobo,TF,11.00
14(1),Aimalac Millie,TF,12.00
15(3),Nothing Box,TF,41.00
Race,Race 9 Gold Coast
Number,Name,WinPrice,FixedPrice
1(14),Daring Deeds,TF,19.00
4(3),Saxton Rock,TF,5.50
5(7),African Academy,TF,31.00
6(8),Aiolos,TF,19.00
7(9),Jake's Hill,TF,2.80
8(1),Junction,TF,23.00
9(13),Ruler,TF,21.00
11(4),Floreana,TF,34.00
12(24),Fox Force Five,TF,26.00
13(18),Miss Severina,TF,8.50
15(17),Time To Play,TF,26.00
16(22),Tziporah,TF,16.00
